title
"Assistant Professor of Nuclear Engineering, Joint Faculty Appointment with ORNL"
"Alumni Distinguished Graduate Professor of Nuclear Engineering, Director of College of Engineering Master of Engineering Program"
"Professor of Nuclear Engineering, Joint Faculty Appointment with ORNL"
"Alumni Distinguished Undergraduate Professor of Nuclear Engineering, Director of Nuclear Engineering Undergraduate Program, Director of CASL Education Program"
Associate Professor of Nuclear Engineering
"Alumni Distinguished Graduate Professor of Nuclear and Chemical Engineering, Chief Scientist of CNEC, Director of CEAR"
"Distinguished University Professor of Nuclear Engineering, Executive Associate Dean of the College of Engineering, Director of the Nuclear Energy University Program (NEUP) Integration Office for the US Department of Energy"
"Professor of Nuclear Engineering, Director of Nuclear Reactor Program"
"Associate Professor of Nuclear Engineering, Joint Faculty Appointment with ORNL"
Research Assistant Professor
"Professor of Nuclear Engineering, Head of Department of Nuclear Engineering"
Associate Professor of Nuclear Engineering
"Duke Energy Distinguished Professor of Nuclear Engineering, Joint Faculty Appointment with ORNL, Chief Scientist of CASL"
"Manager of Nuclear Services, NRP; Lecturer, Dept. of Nuclear Engineering"
"Associate Professor of Nuclear Engineering, Technical Director of CNEC"
"Progress Energy Distinguished Professor of Nuclear Engineering, Director of Nuclear Engineering Graduate Program"
Teaching Associate Professor
Teaching Assoc Professor
"Associate Professor of Nuclear Engineering, Nuclear Engineering ABET Coordinator"
Professor of Nuclear Engineering
Research Professor of Nuclear Engineering
Reactor Health Physicist
Pilot Plant Manager
Research Assistant Professor
Professor of Chemistry
Director of Applied Research
Professor Emeritus
Professor and Co-Director - Forest Biotechnolgy Group
"Assist Professor, Supply Chain & Conversion Economics, Integrated Analysis"
"Manager of Operations, BioResources"
Department Head
Professor
Professor
Postdoctoral Research Scholar
Professor
Postdoctoral Research Scholar
Professor Emeritus
Research Professor
Postdoc Research Scholar
Postdoctoral Research Scholar
Associate Professor
Postdoctoral Research Scholar
Facilities Maint Tech'n - Mech
Value Added Wood Products
Research Associate
Postdoctoral Research Scholar
Associate Professor
Associate Professor & University Faculty Scholar
Postdoctoral Research Scholar
Assoc. Professor
Associate Professor
Associate Professor
Executive in Residence
Postdoctoral Research Scholar
Associate Professor
Postdoctoral Research Scholar
Assoc Professor
Program Manager
Professor
Extension Assoc
Postdoctoral Research Scholar
"Associate Professor, TECS"
Burlington Chair in Textile Technology and Director of T-PACC
"Adjunct Assistant Professor, TECS"
"Associate Professor, TECS"
"Associate Professor, Co-Director Textile Protection and Comfort Center"
"Assistant Dean for Information Technology, Adjunct Lecturer, TECS"
"Associate Professor, TECS"
Ciba Professor of Dyestuff Chemistry
"Professor, TECS"
"Professor, Joseph D. Moore Distinguished University Professor, TATM"
"Associate Professor, TECS"
"Adjunct Professor, TECS"
"Teaching Professor, TECS"
"Teaching Associate Professor, TATM"
"Professor, TECS"
"Associate Professor, TATM"
"Dean, College of Textiles; Cone Mills Professor of Textile Chemistry"
"Associate Professor, TT Program Director, TECS"
"Professor and Textile Engineering Program Director, TECS"
"Associate Professor, Department Head, TECS"
"Assistant Professor, TECS"
"Professor, TECS"
"Adjunct Lecturer, TECS"
"Associate Professor, TECS"
"Associate Dean, Academic Affairs, COE Associate Professor"
"Professor, TATM"
"Research Assistant Professor, NWI"
"Professor, Director of Ph.D. Programs"
"Adjunct Associate Professor, TECS"
"CBRN Research Assistant Professor, T-PACC"
Abel C. Lineberger Professor
"Associate Dean for Industry Research and Extension, William A. Klopman Distinguished Professor, Executive Director, The Nonwovens Institute"
"Interim Director of the Zeis Textiles Extension Education, Professor of Textile Engineering, Alumni Distinguished Undergraduate Professor"
